term,base_term,type
glucose subunits,glucose subunit,entity
glucose subunit,glucose subunit,entity
cellulose fiber,cellulose fiber,entity
linkage,linkage,entity
cellulose molecule,cellulose molecule,entity
plant cell organelles,plant cell organelle,entity
light energy,light energy,entity
major,major,entity
autotrophs,autotroph,entity
heterotrophs,heterotroph,entity
membrane sacs,membrane sac,entity
thylakoids,thylakoid,entity
thylakoid stack,thylakoid stack,entity
granum,granum,entity
grana,grana,entity
stroma,stroma,entity
flat,flat,entity
liquid,liquid,entity
thylakoid space,thylakoid space,entity
membrane structures-thylakoids,membrane structure-thylakoid,entity
thylakoid membranes,thylakoid membrane,entity
sugar synthesis,sugar synthesis,event
chlorophyll,chlorophyll,entity
endosymbiosis,endosymbiosis,event
endo,endo,entity
endosymbiotic,endosymbiotic,entity
intestine,intestine,entity
aerobic,aerobic,entity
autotrophic bacteria,autotrophic bacteria,entity
cyanobacteria,cyanobacteria,entity
aerobic bacteria,aerobic bacteria,entity
endomembrane,endomembrane,entity
endomembrane system,endomembrane system,entity
transport lipids,transport lipid,entity
endomembranous organelles,endomembranous organelle,entity
chloroplast membranes,chloroplast membrane,entity
cisternae,cisternae,entity
trans face,tran face,entity
golgi,Golgi,entity
vesicle fuses,vesicle fuse,entity
contents,content,entity
rough endoplasmic reticulum,Rough endoplasmic reticulum,entity
rer,RER,entity
integral protein bud,integral protein bud,entity
buds,bud,entity
bud,bud,entity
integral,integral,entity
magnus,Magnus,entity
lumen,lume,entity
endoplasmic,endoplasmic,entity
tubules,tubule,entity
hollow,hollow,entity
cisternal space,cisternal space,entity
cytoplasmic surface,cytoplasmic surface,entity
pancreatic cell,pancreatic cell,entity
structural modifications,structural modification,event
side chains,side chain,entity
cellular membranes—,cellular membranes—,entity
protein hormones,protein hormone,entity
cellular membranes,cellular membrane,entity
transport vesicles,transport vesicle,entity
ser,ser,entity
ser functions,ser function,entity
steroid hormones,steroid hormone,entity
detoxification,detoxification,event
sarcoplasmic reticulum,sarcoplasmic reticulum,entity
heart disease,heart disease,entity
heart diseases,heart disease,entity
trans-fat diets,tran-fat diet,entity
blood,blood,entity
vital organs,vital organ,entity
kidney,kidney,entity
kidneys,kidney,entity
cardiac muscle tissue,cardiac muscle tissue,entity
cardiac muscle,cardiac muscle,entity
endoplasmic reticula,endoplasmic reticula,entity
contractile force,contractile force,entity
ecg,ECG,entity
electrical activity,electrical activity,entity
intake,intake,entity
golgi body,Golgi body,entity
white blood cell,white blood cell,entity
white blood cells,white blood cell,entity
sugar molecule chains,sugar molecule chain,entity
phosphate groups,phosphate group,entity
small molecules,small molecule,entity
secretory vesicles,secretory vesicle,entity
secretory activity,secretory activity,entity
salivary gland cells,salivary gland cell,entity
immune system cells,immune system cell,entity
genetic mutations,genetic mutation,event
critical proteins,critical protein,entity
lowe disease,Lowe disease,entity
oculocerebrorenal syndrome,oculocerebrorenal syndrome,entity
cataracts,cataract,entity
kidney disease,kidney disease,entity
mutation,mutation,event
human sex chromosomes,human sex chromosome,entity
sex,sex,entity
genes,gene,entity
gene,gene,entity
lowe disease gene,Lowe disease gene,entity
symptoms,symptom,entity
mutated,mutate,event
genetic diseases,genetic disease,entity
prenatal,prenatal,entity
fetus,fetus,entity
prenatal genetic test,prenatal genetic test,entity
hydrolytic enzymes,hydrolytic enzyme,entity
pathogens,pathogen,entity
pathogen,pathogen,entity
macrophages,macrophage,entity
macrophage,macrophage,entity
immune system,immune system,entity
phagocytosis,phagocytosis,event
endocytosis,endocytosis,event
cilia,cilia,entity
protein fibers,protein fiber,entity
positions,position,entity
positioned,position,entity
fibers,fiber,entity
cortex,cortex,entity
tension,tension,event
compressive forces,compressive force,entity
cellular movement,cellular movement,event
globular protein,globular protein,entity
globular proteins,globular protein,entity
strands,strand,entity
actin,actin,entity
microfilaments actin filaments,microfilament actin filament,event
actin filaments,actin filament,event
actin filament,actin filament,event
actin subunits,actin subunit,entity
actin strands,actin strand,entity
myosin,myosin,entity
cellular events,cellular event,entity
cytoplasmic streaming,cytoplasmic stream,event
cell cytoplasm,cell cytoplasm,entity
circular movement,circular movement,event
myosin filaments,myosin filament,event
muscles,muscle,entity
muscle,muscle,entity
rigidity,rigidity,entity
depolymerize,depolymerize,entity
disassemble,disassemble,event
infection,infection,entity
fighting,fighting,event
intermediate,Intermediate,entity
cytoskeleton elements,cytoskeleton element,entity
intermediate filament fibers,Intermediate filament fiber,entity
cell movement,cell movement,event
anchor,anchor,entity
cytoskeletal elements,cytoskeletal element,entity
keratin,keratin,entity
epidermis,epidermis,entity
small hollow tubes,small hollow tube,entity
molecular model,molecular model,entity
hollow tube,hollow tube,entity
tubulin structure,tubulin structure,entity
molecular structure,molecular structure,entity
structural elements,structural element,entity
cilium,cilium,entity
paramecia,paramecia,entity
outer surface,outer surface,entity
ovum,ovum,entity
uterus,uterus,entity
particulate matter,particulate matter,entity
length,length,entity
single flagellum,single flagellum,entity
microtubule doublets,microtubule doublet,entity
microtubule doublet,microtubule doublet,entity
single microtubule doublet,single microtubule doublet,entity
extracellular,extracellular,entity
tight junctions,tight junction,entity
tight junction,tight junction,entity
desmosomes,desmosome,entity
desmosome,desmosome,entity
gap junctions,gap junction,entity
gap junction,gap junction,entity
group project,group project,entity
extracellular matrix,extracellular matrix,entity
extracellular space,extracellular space,entity
collagen,collage,entity
collagen fibers,collage fiber,entity
proteoglycans,proteoglycan,entity
protein molecules,protein molecule,entity
integrins,integrin,entity
fibronectin,fibronectin,entity
proteoglycan complexes,proteoglycan complex,entity
proteoglycan complex,proteoglycan complex,entity
polysaccharide core,polysaccharide core,entity
core,core,entity
cytoplasmic membrane,cytoplasmic membrane,entity
protein receptors,protein receptor,entity
protein receptor,protein receptor,entity
extracellular surfaces,extracellular surface,entity
receptor,receptor,entity
chemical signals,chemical signal,entity
dna sections,dna section,entity
